;;;;;;S-N32-K5;;;;;S-N43-K6;;;;;S-N50-K7;;;;;S-N57-K9;;;;;S-N62-K8;;;;;S-N80-K10;;;;;
ALGORITHM;R.C.L;I.W.I;L.S;MOVES;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;AvgTime;AvgSol;MinTime;MinSol;
VNS GRASP CONSTRUCTIVE;3;10;BN + Relocation;Intraroute + TwoOpt;402.0;815.7218460784209;216.0;791.8109877476961;1183.0;775.9257968346203;737.0;765.1985442981672;2125.0;760.8700927406088;1166.0;755.4852702912737;2771.0;1680.121142178644;1274.0;1644.2408914247785;6333.0;1398.9025917133463;3647.0;1366.5241229094818;8567.0;1955.3575553832773;4572.0;1917.9762358043533;
VNS GRASP CONSTRUCTIVE;3;10;BN + Interroute;Intraroute + TwoOpt;319.0;838.2816140497132;160.0;812.6561906061326;693.0;772.382711345766;340.0;756.1055397658241;870.0;772.3130319843297;554.0;751.6785812091873;1522.0;1651.6158415635364;938.0;1640.3755759823775;3241.0;1402.0973268870712;1240.0;1380.5102210590408;4264.0;1971.6362092978536;1283.0;1926.4183508488643;
VNS GRASP CONSTRUCTIVE;3;10;BN + IntrarouteSwap;Intraroute + TwoOpt;97.0;837.0000114227681;66.0;813.707550889886;99.0;781.9612315980245;75.0;772.7832372042847;107.0;762.7093161199549;54.0;752.0364742759721;94.0;1691.4744798128352;79.0;1670.9180435087494;204.0;1416.277231726442;127.0;1377.982323365986;276.0;1942.7912053960317;154.0;1886.8448760097358;
VNS GRASP CONSTRUCTIVE;3;10;BN + TwoOpt;Intraroute + TwoOpt;41.0;827.8071222033253;27.0;809.378611498028;56.0;767.811583393571;39.0;758.0052617698154;42.0;757.9784710651693;15.0;746.6897044458785;62.0;1659.434106562086;32.0;1637.4729636371762;110.0;1398.8315712792476;56.0;1390.0451263825375;173.0;1961.097054055467;112.0;1942.993032657324;
VNS GRASP CONSTRUCTIVE;3;10;FBN + Relocation;Intraroute + TwoOpt;810.0;828.9411270147996;281.0;794.374598270512;900.0;778.3236009181868;477.0;759.6089343269197;1524.0;766.4313512467093;614.0;758.6880104642198;2240.0;1690.961853508848;1039.0;1668.4452086557146;4955.0;1406.4517830521695;1798.0;1366.2897455306393;5092.0;1969.7591370287623;3016.0;1930.6410083776564;
VNS GRASP CONSTRUCTIVE;3;10;FBN + InterrouteSwap;Intraroute + TwoOpt;121.0;845.2748203244882;69.0;833.9940147484764;208.0;778.4544930174278;149.0;766.4965691182674;347.0;770.2625266162877;152.0;765.9754683654234;841.0;1654.7622803607578;486.0;1637.9884656129811;540.0;1405.225520606436;361.0;1382.8080318529949;1297.0;1958.2324385397337;616.0;1917.118968218218;
VNS GRASP CONSTRUCTIVE;3;10;FBN + IntrarouteSwap;Intraroute + TwoOpt;47.0;817.5278816803691;24.0;788.3358240495287;41.0;771.6581127258785;17.0;755.7349935623322;48.0;757.8506758323945;20.0;749.7272462508733;79.0;1660.921737886245;47.0;1623.169661283624;75.0;1403.5365525217444;33.0;1365.9510410718813;123.0;1949.128845901147;74.0;1917.7832607675432;
VNS GRASP CONSTRUCTIVE;3;10;FBN + TwoOpt;Intraroute + TwoOpt;19.0;812.1663370577805;8.0;787.0818888551106;26.0;775.355219992272;17.0;766.9176927959506;20.0;758.1608333066282;15.0;753.5455948366696;32.0;1665.4536942074133;12.0;1643.5852872166208;40.0;1376.8987711720486;24.0;1360.5529269231217;53.0;1965.2452270368217;27.0;1918.7293577255093;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + TwoOpt;Intraroute + TwoOpt;65.0;818.4705466148464;35.0;788.3358240495286;89.0;770.2324397028649;47.0;762.6010595994085;119.0;755.939017487951;64.0;745.1600320380326;104.0;1690.7162551193906;67.0;1645.1999561208152;232.0;1418.1290569703247;139.0;1380.1173427752535;345.0;1908.6179001246321;282.0;1880.9237900169421;
VNS GRASP CONSTRUCTIVE;3;10;VND + Intraroute + Interroute + Relocation + TwoOpt;Intraroute + TwoOpt;618.0;806.9487870781686;318.0;787.0818888551103;945.0;760.6268867107207;541.0;750.070192151494;949.0;752.4603789811271;457.0;745.2661817545503;1850.0;1621.2041863423897;745.0;1609.0983189650162;2575.0;1377.807160149431;1091.0;1343.5119730599263;5504.0;1912.737112879799;3300.0;1858.0493709689429;
